match_id,round,group_sign,home_team_name,away_team_name,home_score,away_score,attendance,start_datetime,home_ballPossession,home_expectedGoals,home_totalShotsOnGoal,home_shotsOnGoal,home_bigChanceCreated,home_bigChanceScored,home_cornerKicks,home_fouls,home_yellowCards,home_redCards,home_passes,home_accuratePasses,home_totalTackle,home_interceptionWon,home_ballRecovery,home_totalClearance,home_goalkeeperSaves,home_goalsPrevented,home_duelWonPercent,home_dribblesPercentage,home_touchesInOppBox,home_accurateCross,home_accurateLongBalls,home_wonTacklePercent,away_ballPossession,away_expectedGoals,away_totalShotsOnGoal,away_shotsOnGoal,away_bigChanceCreated,away_bigChanceScored,away_cornerKicks,away_fouls,away_yellowCards,away_redCards,away_passes,away_accuratePasses,away_totalTackle,away_interceptionWon,away_ballRecovery,away_totalClearance,away_goalkeeperSaves,away_goalsPrevented,away_duelWonPercent,away_dribblesPercentage,away_touchesInOppBox,away_accurateCross,away_accurateLongBalls,away_wonTacklePercent,diff_ballPossession,diff_expectedGoals,diff_totalShotsOnGoal,diff_shotsOnGoal,diff_bigChanceCreated,diff_bigChanceScored,diff_cornerKicks,diff_fouls,diff_yellowCards,diff_redCards,diff_passes,diff_accuratePasses,diff_totalTackle,diff_interceptionWon,diff_ballRecovery,diff_totalClearance,diff_goalkeeperSaves,diff_goalsPrevented,diff_duelWonPercent,diff_dribblesPercentage,diff_touchesInOppBox,diff_accurateCross,diff_accurateLongBalls,diff_wonTacklePercent,home_win,draw,away_win,result_1x2,over_2_5,btts,total_goals,goal_difference
15186731,2,A,Czechia,South Africa,1,1,67442,2026-06-18T16:00:00,38,1.02,14,3,3.0,1.0,5,12,1.0,,341,272,12,9,46,22,3,0.1165,49,10,16,7,22,4,62,1.38,17,4,1.0,1.0,5,10,2.0,,563,508,20,9,45,24,2,-0.466,51,8,20,4,30,11,-24,-0.3599999999999999,-3,-1,2.0,0.0,0,2,-1.0,,-222,-236,-8,0,1,-2,1,0.5825,-2,2,-4,3,-8,-7,0,1,0,D,False,True,2,0
15186806,2,B,Switzerland,Bosnia & Herzegovina,4,1,70026,2026-06-18T19:00:00,62,2.06,13,7,4.0,3.0,7,7,1.0,0.0,586,516,19,5,42,17,2,-0.7303,58,6,35,1,25,13,38,0.23,5,3,0.0,0.0,3,18,2.0,1.0,354,287,13,11,49,36,3,-1.5444,42,6,8,1,13,3,24,1.83,8,4,4.0,3.0,4,-11,-1.0,-1.0,232,229,6,-6,-7,-19,-1,0.8141,16,0,27,0,12,10,1,0,0,H,True,True,5,3
15186798,2,B,Canada,Qatar,6,0,52497,2026-06-18T22:00:00,79,4.6,32,10,6.0,3.0,19,9,1.0,0.0,567,515,9,6,39,3,0,0.0,49,6,97,13,10,5,21,0.22,2,0,0.0,0.0,1,10,1.0,2.0,162,104,16,10,25,61,4,-1.1504,51,2,1,1,17,10,58,4.38,30,10,6.0,3.0,18,-1,0.0,-2.0,405,411,-7,-4,14,-58,-4,1.1504,-2,4,96,12,-7,-5,1,0,0,H,True,False,6,6
15186490,2,A,Mexico,South Korea,1,0,45522,2026-06-19T01:00:00,42,0.53,8,4,2.0,1.0,0,9,0.0,,427,349,14,6,50,20,2,0.7644,47,6,6,4,16,7,58,0.91,9,2,3.0,0.0,2,7,2.0,,578,488,17,5,51,12,3,-0.0996,53,9,11,5,23,10,-16,-0.38,-1,2,-1.0,1.0,-2,2,-2.0,,-151,-139,-3,1,-1,8,-1,0.864,-6,-3,-5,-1,-7,-3,1,0,0,H,False,False,1,1
15186878,2,D,USA,Australia,2,0,66925,2026-06-19T19:00:00,62,1.08,10,2,2.0,1.0,7,12,3.0,,523,444,20,20,39,31,2,0.0947,48,11,20,4,26,8,38,0.35,5,2,0.0,0.0,4,16,4.0,,310,219,13,6,44,24,1,-0.6905,52,14,20,4,19,11,24,0.7300000000000001,5,0,2.0,1.0,3,-4,-1.0,,213,225,7,14,-5,7,1,0.7852,-4,-3,0,0,7,-3,1,0,0,H,False,False,2,2
15186859,2,C,Scotland,Morocco,0,1,64146,2026-06-19T22:00:00,41,0.51,6,0,1.0,0.0,2,11,1.0,,456,388,20,9,42,17,1,-0.506,53,4,20,3,20,12,59,0.99,12,2,3.0,1.0,5,8,1.0,,670,600,10,5,46,14,0,0.0,47,5,26,2,14,6,-18,-0.48,-6,-2,-2.0,-1.0,-3,3,0.0,,-214,-212,10,4,-4,3,1,-0.506,6,-1,-6,1,6,6,0,0,1,A,False,False,1,-1
15186856,2,C,Brazil,Haiti,3,0,68324,2026-06-20T00:30:00,57,1.75,8,5,5.0,3.0,4,13,1.0,,525,462,21,10,40,14,3,0.4334,55,4,24,1,20,10,43,0.23,7,3,0.0,0.0,4,14,3.0,,399,332,16,9,35,22,2,-0.6665,45,3,17,3,31,10,14,1.52,1,2,5.0,3.0,0,-1,-2.0,,126,130,5,1,5,-8,1,1.0998999999999999,10,1,7,-2,-11,0,1,0,0,H,True,False,3,3
15186879,2,D,Türkiye,Paraguay,0,1,68827,2026-06-20T03:00:00,79,2.17,32,5,5.0,,12,14,1.0,0.0,629,559,17,6,46,29,1,-0.7916,45,13,50,8,28,11,21,0.32,7,2,0.0,,0,15,1.0,1.0,178,96,25,9,49,48,5,0.6719,55,15,12,2,22,15,58,1.8499999999999999,25,3,5.0,,12,-1,0.0,-1.0,451,463,-8,-3,-3,-19,-4,-1.4635,-10,-2,38,6,6,-4,0,0,1,A,False,False,1,-1
15186957,2,F,Netherlands,Sweden,5,1,68777,2026-06-20T17:00:00,51,2.61,10,7,3.0,3.0,2,9,0.0,,449,398,15,8,40,24,7,0.7083,48,3,20,3,18,8,49,1.01,16,8,2.0,1.0,5,12,3.0,,425,361,18,5,36,14,2,-0.8038,52,7,26,3,6,9,2,1.5999999999999999,-6,-1,1.0,2.0,-3,-3,-3.0,,24,37,-3,3,4,10,5,1.5121,-4,-4,-6,0,12,-1,1,0,0,H,True,True,6,4
15186905,2,E,Germany,Côte d'Ivoire,2,1,43036,2026-06-20T20:00:00,60,1.89,16,7,5.0,2.0,8,5,,,624,555,26,8,51,14,1,0.105,47,6,33,5,18,17,40,1.22,9,2,2.0,1.0,3,7,,,431,367,20,13,55,26,5,0.3557,53,20,22,5,28,11,20,0.6699999999999999,7,5,3.0,1.0,5,-2,,,193,188,6,-5,-4,-12,-4,-0.25070000000000003,-6,-14,11,0,-10,6,1,0,0,H,True,True,3,1
