player_id,player_name,player_short_name,position,shirt_number,matches_played,total_minutes,substitute_appearances,starts,minutes_per_match,goals_per_90,expectedGoals_per_90,expectedAssists_per_90,totalShots_per_90,onTargetScoringAttempt_per_90,keyPass_per_90,bigChanceCreated_per_90,totalTackle_per_90,interceptionWon_per_90,ballRecovery_per_90,totalClearance_per_90,fouls_per_90,wasFouled_per_90,duelWon_per_90,aerialWon_per_90,saves_per_90,goalsPrevented_per_90,keeperSaveValue_per_90,weighted_rating
856250,Ladislav Krejčí,L. Krejčí,D,7,3,270.0,0,3,90.0,0.33333333333333337,0.1562,0.02418223333333333,1.6666666666666665,0.33333333333333337,0.6666666666666667,0.33333333333333337,2.666666666666667,0.33333333333333337,4.0,3.333333333333333,2.0,0.6666666666666667,7.0,3.333333333333333,0.0,0.0,0.0,6.9
856714,Declan Rice,D. Rice,M,4,5,341.0,1,4,68.2,0.0,0.041991202346041055,0.20116728211143692,1.0557184750733137,0.26392961876832843,3.1671554252199416,0.7917888563049854,0.5278592375366569,0.0,4.750733137829912,0.5278592375366569,0.7917888563049854,0.0,1.847507331378299,0.5278592375366569,0.0,0.0,0.0,6.952199413489737
856739,Lutsharel Geertruida,L. Geertruida,D,2,4,0.0,4,0,0.0,,,,,,,,,,,,,,,,,,,
857738,Yunus Akgün,Y. Akgün,F,19,3,88.0,2,1,29.333333333333332,0.0,0.0,0.09668086363636362,0.0,0.0,2.0454545454545454,0.0,0.0,0.0,3.068181818181818,0.0,2.0454545454545454,1.0227272727272727,2.0454545454545454,0.0,0.0,0.0,0.0,6.363636363636363
857740,Ozan Kabak,O. Kabak,D,15,3,90.0,2,1,30.0,0.0,0.0,0.189984,0.0,0.0,1.0,0.0,4.0,0.0,4.0,4.0,3.0,0.0,8.0,3.0,0.0,0.0,0.0,7.1
858004,Nihad Mujakić,N. Mujakić,D,2,4,0.0,4,0,0.0,,,,,,,,,,,,,,,,,,,
858977,Christopher Operi,C. Operi,D,13,4,90.0,3,1,22.5,0.0,0.0,0.0229275,0.0,0.0,0.0,0.0,2.0,1.0,6.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0
859025,Aurélien Tchouaméni,A. Tchouaméni,M,8,5,270.0,2,3,54.0,0.0,0.022033333333333332,0.0708397,0.6666666666666667,0.0,1.3333333333333335,0.0,4.333333333333333,1.6666666666666665,6.333333333333334,0.6666666666666667,1.3333333333333335,0.6666666666666667,7.333333333333334,2.0,0.0,0.0,0.0,7.5
859026,Amine Gouiri,A. Gouiri,F,9,4,253.0,1,3,63.25,0.3557312252964427,0.17466403162055336,0.021415852173913046,1.067193675889328,0.7114624505928854,0.3557312252964427,0.0,0.3557312252964427,0.0,1.7786561264822134,0.3557312252964427,0.3557312252964427,0.3557312252964427,1.4229249011857708,0.3557312252964427,0.0,0.0,0.0,6.76600790513834
859999,Lisandro Martínez,L. Martínez,D,6,5,390.0,1,4,78.0,0.23076923076923078,0.016407692307692307,0.16145579999999998,0.46153846153846156,0.23076923076923078,0.46153846153846156,0.23076923076923078,1.6153846153846152,0.9230769230769231,2.5384615384615383,5.538461538461538,0.6923076923076923,0.46153846153846156,3.923076923076923,1.3846153846153846,0.0,0.0,0.0,7.746153846153846
860307,Facundo Medina,F. Medina,D,25,5,259.0,2,3,51.8,0.0,0.0,0.055078818532818534,0.0,0.0,0.3474903474903475,0.0,2.77992277992278,0.3474903474903475,3.1274131274131274,3.1274131274131274,1.0424710424710424,0.694980694980695,4.1698841698841695,0.694980694980695,0.0,0.0,0.0,7.006177606177606
862078,Meschak Elia,M. Elia,F,13,4,44.0,4,0,11.0,0.0,0.09674999999999997,0.04112382272727273,4.090909090909091,2.0454545454545454,6.136363636363636,0.0,2.0454545454545454,2.0454545454545454,6.136363636363636,2.0454545454545454,4.090909090909091,0.0,4.090909090909091,2.0454545454545454,0.0,0.0,0.0,6.645454545454545
862967,Cody Gakpo,C. Gakpo,F,11,4,371.0,0,4,92.75,0.7277628032345014,0.38205121293800537,0.16598141320754714,2.4258760107816713,1.4555256064690028,0.7277628032345014,0.24258760107816713,0.7277628032345014,0.48517520215633425,1.6981132075471697,0.0,0.7277628032345014,0.7277628032345014,4.123989218328841,1.940700808625337,0.0,0.0,0.0,7.52533692722372
863600,Samet Akaydın,S. Akaydın,D,25,3,0.0,3,0,0.0,,,,,,,,,,,,,,,,,,,
863653,Aaron Wan-Bissaka,A. Wan-Bissaka,D,2,4,355.0,0,4,88.75,0.0,0.0,0.04924055154929577,0.0,0.0,0.76056338028169,0.0,2.535211267605634,1.7746478873239437,2.535211267605634,5.577464788732394,0.2535211267605634,0.2535211267605634,4.309859154929577,1.0140845070422535,0.0,0.0,0.0,7.001408450704226
864921,Eberechi Eze,E. Eze,M,21,5,55.0,5,0,11.0,0.0,0.05858181818181818,0.5347026818181818,1.6363636363636362,0.0,1.6363636363636362,0.0,0.0,0.0,4.909090909090909,1.6363636363636362,0.0,3.2727272727272725,4.909090909090909,1.6363636363636362,0.0,0.0,0.0,6.6890909090909085
865500,Roberto Alvarado,R. Alvarado,F,25,5,430.0,0,5,86.0,0.0,0.04535581395348837,0.36919929767441856,1.0465116279069768,0.0,2.7209302325581395,0.8372093023255813,1.8837209302325582,0.41860465116279066,3.3488372093023253,1.8837209302325582,0.627906976744186,1.0465116279069768,4.395348837209302,0.0,0.0,0.0,0.0,7.358139534883721
