match_id,season_id,season_name,round,group_name,group_sign,status_code,status_description,winner_code,home_team_id,home_team_name,home_team_code,home_score,home_score_p1,home_score_p2,away_team_id,away_team_name,away_team_code,away_score,away_score_p1,away_score_p2,start_timestamp,start_datetime,injury_time_1,injury_time_2,has_xg,has_player_stats,has_heatmaps,attendance,venue_name,venue_city,venue_country,venue_capacity,referee_name,referee_country,home_manager,away_manager
15186722,58210,World Cup 2026,1,Group K,K,100,Ended,2,4723,Uzbekistan,UZB,1,0,1,4820,Colombia,COL,3,1,2,1781748000,2026-06-18T02:00:00,5,8,True,True,True,80824,Estadio Azteca,Mexico City,Mexico,87523,Anthony Taylor,England,Fabio Cannavaro,Nestor Lorenzo
15186731,58210,World Cup 2026,2,Group A,A,100,Ended,3,4714,Czechia,CZE,1,1,0,4736,South Africa,RSA,1,0,1,1781798400,2026-06-18T16:00:00,4,7,True,True,True,67442,Mercedes-Benz Stadium,Atlanta,USA,71000,Tori Penso,USA,Miroslav Koubek,Hugo Broos
15186806,58210,World Cup 2026,2,Group B,B,100,Ended,1,4699,Switzerland,SUI,4,0,4,4479,Bosnia & Herzegovina,BIH,1,0,1,1781809200,2026-06-18T19:00:00,3,6,True,True,True,70026,SoFi Stadium,Inglewood,USA,70242,Joao Pedro Pinheiro,Portugal,Murat Yakin,Sergej Barbarez
15186798,58210,World Cup 2026,2,Group B,B,100,Ended,1,4752,Canada,CAN,6,3,3,4792,Qatar,QAT,0,0,0,1781820000,2026-06-18T22:00:00,6,9,True,True,True,52497,BC Place,Vancouver,Canada,54500,Cristian Garay,Chile,Jesse Marsch,Julen Lopetegui
15186490,58210,World Cup 2026,2,Group A,A,100,Ended,1,4781,Mexico,MEX,1,0,1,4735,South Korea,KOR,0,0,0,1781830800,2026-06-19T01:00:00,4,6,True,True,True,45522,Estadio Akron,Guadalajara,Mexico,46355,Gustavo Tejera,Uruguay,Javier Aguirre,Myung Bo Hong
15186878,58210,World Cup 2026,2,Group D,D,100,Ended,1,4724,USA,USA,2,2,0,4741,Australia,AUS,0,0,0,1781895600,2026-06-19T19:00:00,7,6,True,True,True,66925,Lumen Field,Seattle,USA,68740,Felix Zwayer,Germany,Mauricio Pochettino,Tony Popovic
15186859,58210,World Cup 2026,2,Group C,C,100,Ended,2,4695,Scotland,SCO,0,0,0,4778,Morocco,MAR,1,1,0,1781906400,2026-06-19T22:00:00,5,6,True,True,True,64146,Gillette Stadium,Foxborough,USA,66829,Ilgiz Tantashev,Uzbekistan,Steve Clarke,Mohamed Ouahbi
15186856,58210,World Cup 2026,2,Group C,C,100,Ended,1,4748,Brazil,BRA,3,3,0,7229,Haiti,HAI,0,0,0,1781915400,2026-06-20T00:30:00,6,5,True,True,True,68324,Lincoln Financial Field,Philadelphia,USA,69176,Alejandro Hernandez,Spain,Carlo Ancelotti,Sébastien Migné
15186879,58210,World Cup 2026,2,Group D,D,100,Ended,2,4700,Türkiye,TUR,0,0,0,4789,Paraguay,PAR,1,1,0,1781924400,2026-06-20T03:00:00,6,7,True,True,True,68827,Levi's Stadium,Santa Clara,USA,68500,Iván Barton,El Salvador,Vincenzo Montella,Gustavo Alfaro
15186957,58210,World Cup 2026,2,Group F,F,100,Ended,1,4705,Netherlands,NED,5,2,3,4688,Sweden,SWE,1,0,1,1781974800,2026-06-20T17:00:00,4,5,True,True,True,68777,NRG Stadium,Houston,USA,72220,Michael Oliver,England,Ronald Koeman,Graham Potter
