match_id,team,is_home,ballPossession,kilometersCovered,expectedGoals,bigChanceCreated,totalShotsOnGoal,goalkeeperSaves,numberOfSprints,cornerKicks,fouls,passes,totalTackle,freeKicks,yellowCards,redCards,shotsOnGoal,hitWoodwork,shotsOffGoal,blockedScoringAttempt,totalShotsInsideBox,totalShotsOutsideBox,bigChanceScored,accurateThroughBall,touchesInOppBox,fouledFinalThird,offsides,accuratePasses,throwIns,finalThirdEntries,finalThirdPhaseStatistic,accurateLongBalls,accurateCross,duelWonPercent,dispossessed,groundDuelsPercentage,aerialDuelsPercentage,dribblesPercentage,wonTacklePercent,interceptionWon,ballRecovery,totalClearance,errorsLeadToShot,errorsLeadToGoal,goalsPrevented,diveSaves,highClaims,punches,goalKicks,bigChanceMissed,penaltySaves
15186722,Uzbekistan,True,39,102.19,1.16,1.0,8,1,72,3,14,319,10,11,1.0,,2,2,4,2,4,4,1.0,0.0,5,4.0,0.0,243,24,53,47,17,3,49,5,24,10,5,7,7,39,24,1.0,1.0,-1.6389,,2.0,,10,0.0,
15186722,Colombia,False,61,100.31,1.61,4.0,15,1,76,4,11,519,10,14,1.0,,4,1,7,4,10,5,3.0,2.0,27,3.0,3.0,444,26,57,89,17,6,51,3,28,8,5,3,6,43,20,0.0,1.0,0.1924,,0.0,,8,1.0,
15186731,Czechia,True,38,108.45,1.02,3.0,14,3,94,5,12,341,12,10,1.0,,3,0,8,3,11,3,1.0,0.0,16,1.0,2.0,272,16,39,40,22,7,49,16,32,13,10,4,9,46,22,1.0,,0.1165,,,0.0,8,2.0,
15186731,South Africa,False,62,103.09,1.38,1.0,17,2,126,5,10,563,20,11,2.0,,4,0,5,8,6,11,1.0,1.0,20,2.0,3.0,508,15,59,101,30,4,51,7,38,9,8,11,9,45,24,1.0,,-0.466,,,1.0,10,0.0,
15186806,Switzerland,True,62,104.28,2.06,4.0,13,2,86,7,7,586,19,17,1.0,0.0,7,0,3,3,9,4,3.0,,35,3.0,3.0,516,21,57,131,25,1,58,7,42,10,6,13,5,42,17,1.0,,-0.7303,,1.0,1.0,3,1.0,
15186806,Bosnia & Herzegovina,False,38,103.78,0.23,0.0,5,3,95,3,18,354,13,7,2.0,1.0,3,0,1,1,3,2,0.0,,8,2.0,1.0,287,8,36,42,13,1,42,13,26,12,6,3,11,49,36,1.0,,-1.5444,,0.0,1.0,8,0.0,
15186798,Canada,True,79,83.55,4.6,6.0,32,0,60,19,9,567,9,10,1.0,0.0,10,0,8,14,21,11,3.0,1.0,97,5.0,1.0,515,23,60,342,10,13,49,11,25,8,6,5,6,39,3,0.0,0.0,0.0,0.0,0.0,,2,3.0,
15186798,Qatar,False,21,75.44,0.22,0.0,2,4,46,1,10,162,16,9,1.0,2.0,0,0,1,1,1,1,0.0,0.0,1,1.0,1.0,104,9,23,9,17,1,51,6,27,7,2,10,10,25,61,1.0,2.0,-1.1504,1.0,3.0,,13,0.0,
15186490,Mexico,True,42,105.15,0.53,2.0,8,2,99,0,9,427,14,7,0.0,,4,0,3,1,5,3,1.0,,6,,3.0,349,17,43,39,16,4,47,13,27,15,6,7,6,50,20,0.0,0.0,0.7644,0.0,,1.0,5,1.0,
15186490,South Korea,False,58,104.0,0.91,3.0,9,3,103,2,7,578,17,9,2.0,,2,0,4,3,6,3,0.0,,11,,6.0,488,25,72,67,23,5,53,6,34,13,9,10,5,51,12,2.0,1.0,-0.0996,2.0,,0.0,5,3.0,
15186878,USA,True,62,96.7,1.08,2.0,10,2,93,7,12,523,20,16,3.0,,2,0,2,6,8,2,1.0,2.0,20,2.0,1.0,444,18,65,103,26,4,48,7,44,15,11,8,20,39,31,2.0,,0.0947,,,,10,1.0,
15186878,Australia,False,38,99.49,0.35,0.0,5,1,99,4,16,310,13,12,4.0,,2,0,3,0,3,2,0.0,1.0,20,0.0,0.0,219,22,43,53,19,4,52,9,37,27,14,11,6,44,24,0.0,,-0.6905,,,,4,0.0,
15186859,Scotland,True,41,104.82,0.51,1.0,6,1,98,2,11,456,20,8,1.0,,0,0,3,3,5,1,0.0,0.0,20,2.0,1.0,388,9,59,59,20,3,53,8,31,7,4,12,9,42,17,1.0,,-0.506,1.0,1.0,,7,1.0,
